patient_name,aadhar_number,patient_gender,patient_birthdate,patient_email,patient_mobile_no,patient_address.street,patient_address.city,patient_address.state,patient_address.zip,patient_consent,patient_height,patient_weight,smoking,alcoholic,diabetic,hypertension,jandice,weight_loss,bleeding,white_discharge_from_vagina,others,purpose_name,purpose_description,hospital_name,visit_date,visit_conclusion,disease_condition,sample_name,sample_detail,sample_field_name,sample_field_value
One,400848845355-64-9202,Female,2001-10-07,one@example.com,+18113501384,1089 birch street,chicago,IL,17089,True,152,63,False,False,False,False,True,False,False,False,,regular check-up,anual check-up,anytown clinic,2021-04-16,Healthy,,Blood,Cholesterol test,Total cholesterol,190 mg/dL
One,400848845355-64-9202,Female,2001-10-07,one@example.com,+18113501384,1089 birch street,chicago,IL,17089,True,152,63,False,False,False,False,True,False,False,False,,regular check-up,anual check-up,anytown clinic,2021-04-16,Healthy,,Blood,Cholesterol test,blood group,B-
One,400848845355-64-9202,Female,2001-10-07,one@example.com,+18113501384,1089 birch street,chicago,IL,17089,True,152,63,False,False,False,False,True,False,False,False,,regular check-up,anual check-up,anytown clinic,2021-04-16,Healthy,,Urine,Pregnancy test,Beta-hCG,2500 mIU/mL
One,400848845355-64-9202,Female,2001-10-07,one@example.com,+18113501384,1089 birch street,chicago,IL,17089,True,152,63,False,False,False,False,True,False,False,False,,regular check-up,anual check-up,anytown clinic,2022-05-10,Healthy check-up,,,,,
One,400848845355-64-9202,Female,2001-10-07,one@example.com,+18113501384,1089 birch street,chicago,IL,17089,True,152,63,False,False,False,False,True,False,False,False,,Flu symptoms,Influenza,Good clinic,2022-05-10,Healthy check-up,,,,,
Five,681109678904-59-2872,Female,1995-02-14,five@example.com,+16504321234,789 maple street,Boston,MA,02110,False,160,60,False,False,False,False,True,False,False,False,,Stomach pain,Gastritis,Boston Clinic,2022-06-05,Prescription of medications,Relief from symptoms,,,,
Six,451203789458-27-3893,Male,1988-06-01,six@example.com,+14158675309,567 pine street,San Francisco,CA,94111,False,170,75,False,True,False,False,True,False,False,False,,Flu symptoms,Influenza,San Francisco Hospital,2022-02-16,Prescription of antivirals,Recovery from illness,,,,
Seven,431105234532-65-2475,Other,1990-08-22,seven@example.com,+49123456789,234 elm street,New York,NY,10999,True,175,80,True,False,True,True,False,False,False,False,,STD testing,Testing for chlamydia,Berlin Clinic,2022-03-28,Negative test result,,Urine,Chlamydia test,Positive/Negative,Negative
Eight,551209534231-45-1905,Female,1999-12-15,eight@example.com,+447912345678,345 high street,chicago,IL,SW1A 2AA,True,155,50,False,False,False,False,False,False,False,False,,Stomach pain,Gastritis,London Clinic,2022-04-12,Prescription of medication,Relief from symptoms,,,,
Nine,631206045220-51-4927,Female,1980-03-29,nine@example.com,+12125551212,678 broadway,New York,NY,10010,True,170,70,True,False,False,True,False,True,False,False,,High blood pressure,Hypertension,New York Hospital,2022-01-05,Prescription of medication,Improved blood pressure,,,,
