aadhar_number,smoking,alcoholic,diabetic,hypertension,jandice,weight_loss,bleeding,white_discharge_from_vagina,others
400848845355-64-9202,False,False,False,False,True,False,False,False,
400848845355-64-9202,False,False,False,False,True,False,False,False,
400848845355-64-9202,False,False,False,False,True,False,False,False,
400848845355-64-9202,False,False,False,False,True,False,False,False,
400848845355-64-9202,False,False,False,False,True,False,False,False,
681109678904-59-2872,False,False,False,False,True,False,False,False,
451203789458-27-3893,False,True,False,False,True,False,False,False,
431105234532-65-2475,True,False,True,True,False,False,False,False,
551209534231-45-1905,False,False,False,False,False,False,False,False,
631206045220-51-4927,True,False,False,True,False,True,False,False,
